,AAPL
1897,148.54
1898,148.526
1899,148.5
1900,148.526
1901,148.5
1902,148.51
1903,148.53
1904,148.53
1905,148.51
1906,148.51
1907,148.506
1908,148.503
1909,148.499
1910,148.499
1911,148.516
1912,148.51
1913,148.48
1914,148.47
1915,148.476
1916,148.486
1917,148.44000000000003
1918,148.42
1919,148.437
1920,148.42
1921,148.437
1922,148.38
1923,148.4
1924,148.42
1925,148.42
1926,148.421
1927,148.42
1928,148.40699999999998
1929,148.45
1930,148.45
1931,148.41
1932,148.41
1933,148.4
1934,148.39000000000001
1935,148.4
1936,148.374
1937,148.411
1938,148.411
1939,148.404
1940,148.411
1941,148.404
1942,148.39000000000001
1943,148.39000000000001
1944,148.37
1945,148.38
1946,148.38
1947,148.33
1948,148.345
1949,148.345
1950,148.345
1951,148.34
1952,148.348
1953,148.36
1954,148.335
1955,148.342
1956,148.34
1957,148.35
1958,148.35
1959,148.35
1960,148.35
1961,148.35
1962,148.32
1963,148.324
1964,148.3
1965,148.25
1966,148.28
1967,148.255
1968,148.23
1969,148.23
1970,148.23
1971,148.25
1972,148.23
1973,148.25
1974,148.231
1975,148.22000000000003
1976,148.23
1977,148.22000000000003
1978,148.19000000000003
1979,148.17
1980,148.19000000000003
1981,148.17
1982,148.16
1983,148.13
1984,148.1
1985,148.07
1986,148.09
1987,148.07
1988,148.06
1989,148.07
1990,148.07
1991,148.11
1992,148.08
1993,148.075
1994,148.06
1995,148.00000000000003
1996,148.01
1997,148.035
1998,147.99
1999,147.99
2000,147.99
